Market player,Profit (million $ /year),If involved?
d195,0.0,No
d196,0.0,No
d197,0.0,No
d198,0.0,No
d199,83.49738253079082,Yes
d200,0.0,No
d201,0.0,No
d202,0.0,No
d203,0.0,No
d204,0.0,No
d205,0.0,No
d206,5.225635319700578,Yes
d207,21.30802993402294,Yes
d208,0.0,No
d209,0.0,No
d210,0.0,No
d211,0.0,No
d212,0.0,No
d213,980.823219396,Yes
d214,176.88300245049172,Yes
d215,0.0,No
d216,0.0,No
d217,0.0,No
d218,0.0,No
d219,0.0,No
d220,0.0,No
d221,0.0,No
d222,0.0,No
d223,0.0,No
d224,0.0,No
d225,0.0,No
d226,0.0,No
d227,143.26425186893053,Yes
d228,0.0,No
d229,81.63979621428275,Yes
d230,0.0,No
d231,0.0,No
d232,0.0,No
d233,0.0,No
d234,0.0,No
d235,0.0,No
d236,0.0,No
d237,0.0,No
d238,0.0,No
d239,0.0,No
d240,0.0,No
d241,177.41067055020045,Yes
d242,73.61959547143432,Yes
d243,0.0,No
d244,10.178940712116757,Yes
d245,125.82619118578042,Yes
d246,0.0,No
d247,0.0,No
d248,0.0,No
d249,0.0,No
d250,0.0,No
d251,0.0,No
d252,0.0,No
d253,0.0,No
d254,0.0,No
d255,0.0,No
d256,0.0,No
d257,0.0,No
d258,0.0,No
d259,0.0,No
d260,0.0,No
d261,0.0,No
d262,0.0,No
d263,0.0,No
d264,0.0,No
d265,0.0,No
d266,49.57251499777101,Yes
d267,466.3314346275054,Yes
d268,0.0,No
d269,0.0,No
d270,0.0,No
d271,0.0,No
d272,0.0,No
d273,0.0,No
d274,0.0,No
d275,0.0,No
d276,0.0,No
d277,0.0,No
d278,0.0,No
d279,0.0,No
d280,0.0,No
d281,0.0,No
d282,65.33250343454354,Yes
d283,119.90440693264468,Yes
d284,0.0,No
d285,0.0,No
d286,0.0,No
d287,74.5231062158032,Yes
d288,0.0,No
d289,0.0,No
d290,0.0,No
d291,0.0,No
d292,29.16123068441427,Yes
d293,0.0,No
d294,259.1982436034329,Yes
d295,0.0,No
d296,0.0,No
d297,0.0,No
d298,0.0,No
d299,0.0,No
d300,0.0,No
d301,0.0,No
d302,0.0,No
d303,0.0,No
d304,0.0,No
d305,0.0,No
d306,0.0,No
d307,15.007817711173276,Yes
d308,0.0,No
d309,0.0,No
d310,0.0,No
d311,0.0,No
d312,0.0,No
d313,0.0,No
d314,0.0,No
d315,0.0,No
d316,0.0,No
d317,0.0,No
d318,159.21469782738592,Yes
d319,0.0,No
d320,0.0,No
d321,0.0,No
d322,45.805668463336886,Yes
d323,0.0,No
d324,0.0,No
d325,0.0,No
d326,0.0,No
d327,0.0,No
d328,0.0,No
d329,0.0,No
d330,0.0,No
d331,78.31004290955157,Yes
d332,0.0,No
d333,0.0,No
d334,0.0,No
d335,0.0,No
d336,0.0,No
d337,0.0,No
d338,47.1019952411121,Yes
d339,0.0,No
d340,0.0,No
d341,0.0,No
d342,0.0,No
d343,0.0,No
d344,0.0,No
d345,0.0,No
d346,173.99685687087725,Yes
d347,0.0,No
d348,0.0,No
d349,125.88035362385054,Yes
d350,193.5597327416193,Yes
d351,0.0,No
d352,0.0,No
d353,0.0,No
d354,0.0,No
d355,0.0,No
d356,0.0,No
d357,0.0,No
d358,0.0,No
d359,0.0,No
d360,277.0947348205527,Yes
d361,0.0,No
d362,0.0,No
d363,0.0,No
d364,0.0,No
d365,0.0,No
d366,251.06249555450665,Yes
d367,0.0,No
d368,0.0,No
d369,0.0,No
d370,0.0,No
d371,0.0,No
d372,0.0,No
d373,0.0,No
d374,0.0,No
d375,0.0,No
d376,0.0,No
