,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n77,-0.0,-0.0032266470084745353,-0.0032264803174745353,-0.0,-0.0,-0.0,-0.0,997.7146483644399,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n78,-0.0,-0.013905259227612161,-0.013905092536612162,-0.0,-0.0,-0.0,-0.0,998.0083566139848,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n79,-0.0,-0.006100572371171479,-0.006100405680171479,-0.0,-0.0,-0.0,-0.0,998.3852083052892,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n80,-0.0,-0.005033096126181341,-0.005032929435181341,-0.0,-0.0,-0.0,-0.0,998.5054700195319,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n81,-0.0,-0.014880285678894097,-0.014880118987894098,-0.0,-0.0,-0.0,-0.0,998.4170486332222,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n82,-0.0,-0.004839851433820207,-0.004839851433820207,-0.0,-0.0,-0.0,-0.0,998.7053806040116,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n83,-0.0,-0.0082444258046368,-0.0082442591136368,-0.0,-0.0,-0.0,-0.0,998.5108449785164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n84,-0.0,-0.016525821428896782,-0.016525654737896783,-0.0,-0.0,-0.0,-0.0,998.4240588946564,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n85,-0.0,-0.0080527120416197,-0.008052545350619701,-0.0,-0.0,-0.0,-0.0,997.891591592247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n86,-0.0,-0.010476053543572868,-0.010475886852572868,-0.0,-0.0,-0.0,-0.0,998.0030627025853,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n87,-0.0,-0.010067259447523345,-0.010067092756523345,-0.0,-0.0,-0.0,-0.0,997.626228120245,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n88,-0.0,-0.0038621006825437267,-0.0038619339915437266,-0.0,-0.0,-0.0,-0.0,997.6032775036663,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n89,-0.0,-0.00811636449214765,-0.00811619780114765,-0.0,-0.0,-0.0,-0.0,997.5289023999721,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n90,-0.0,-0.00670581849428029,-0.0067056518032802895,-0.0,-0.0,-0.0,-0.0,997.7889946742027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n91,-0.0,-0.016594463839623614,-0.016594463839623614,-0.0,-0.0,-0.0,-0.0,997.758891013149,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n92,-0.0,-0.007004766893818878,-0.007004600202818878,-0.0,-0.0,-0.0,-0.0,997.4174088507698,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n93,-0.0,-0.007310996734019843,-0.007310830043019843,-0.0,-0.0,-0.0,-0.0,997.9977753504633,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n94,-0.0,-0.011076496845498567,-0.011076330154498567,-0.0,-0.0,-0.0,-0.0,998.1073705952425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n95,-0.0,-0.0048164632333164105,-0.00481629654231641,-0.0,-0.0,-0.0,-0.0,998.5461806219596,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n96,-0.0,-0.004991803965518034,-0.0049916372745180335,-0.0,-0.0,-0.0,-0.0,998.5444184793224,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n97,-0.0,-0.013248064714616346,-0.013247898023616346,-0.0,-0.0,-0.0,-0.0,996.731015914892,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n98,-0.0,-0.006894406360026312,-0.006894239669026312,-0.0,-0.0,-0.0,-0.0,997.1325708570596,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n99,-0.009486827637670869,-0.00954942089096808,-0.00954925419996808,-0.0,-0.0,-0.0,-0.0,997.896769478692,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n100,-0.0,-0.007755360548628399,-0.0077551938576283985,-0.0,-0.0,-0.0,-0.0,998.5336582317109,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n101,-0.0,-0.004195785191489842,-0.004195618500489841,-0.0,-0.0,-0.0,-0.0,998.6274494582048,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n102,-0.0,-0.0034067000261017413,-0.0034065333351017413,-0.0,-0.0,-0.0,-0.0,998.6274662557205,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n103,-0.0,-0.006148422249529272,-0.0061482555585292715,-0.0,-0.0,-0.0,-0.0,999.1403684422479,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n104,-0.01416705319274852,-0.01920110038847467,-0.01920093369747467,-0.0,-0.0,-0.0,-0.0,999.3949587520434,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n105,-0.0,-0.012508510939438326,-0.012508344248438327,-0.0,-0.0,-0.0,-0.0,999.58760158665,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n106,-0.0,-0.009356388831803336,-0.009356222140803337,-0.0,-0.0,-0.0,-0.0,999.7603719695784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11037196957840875,0.11037196957840875,0.11037196957840875,-0.0,-0.0,-0.0,
n107,-0.0,-0.012539682944666307,-0.012539516253666307,-0.0,-0.0,-0.0,-0.0,999.620921086003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n108,-0.0,-0.006757736793282519,-0.0067575701022825185,-0.0,-0.0,-0.0,-0.0,999.3099840637472,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
