#daily flow (m3),P (mg),N (mg)
2.4043995536447624e6,1.3605872086350274e8,8.89514623529943e9
2.725956207847854e6,1.5546060438286927e8,1.0163588199546251e10
1.739129618267274e6,6.626695133046134e7,4.332351641342255e9
2.3678799490727508e6,1.4073655992920205e8,9.200970531533525e9
2.496920397232525e6,1.444618612013068e8,9.444520517713114e9
2.4823801102378704e6,1.42911555372478e8,9.343165771987524e9
2.768073154639982e6,1.6601050140463978e8,1.0853311549732262e10
2.929000129810549e6,1.7680576326538596e8,1.1559076180549444e10
2.651261012022955e6,1.535771188269737e8,1.0040451076505287e10
2.8640802924391893e6,1.7217139321026865e8,1.1838241331748798e10
1.9649497439185628e6,9.225058517995903e7,6.343008963293154e9
2.3155414065347128e6,1.3385556390990195e8,9.20370358638786e9
2.7632752420679647e6,1.6582481489271855e8,1.1401860325862152e10
2.930718050293091e6,1.7636683527957246e8,1.2126713503482538e10
2.9859331536713387e6,1.7984311922180736e8,1.2365737463726625e10
3.004140610135946e6,1.8098944123633415e8,1.2444556809953852e10
2.9698267940811673e6,1.550322537551266e8,1.0659780349902203e10
2.995529401367588e6,1.5698824313327274e8,1.079427118411734e10
3.0073050208037323e6,1.5763324041243857e8,1.0838620209276016e10
3.0111880902015856e6,1.578459314908153e8,1.0853244522107468e10
3.0124685517543983e6,1.579160674375584e8,1.085806696239847e10
3.0128907903549084e6,1.5793919511674035e8,1.085965718620101e10
3.0130300256450037e6,1.5794682158461002e8,1.0860181570452461e10
3.013075939178215e6,1.8390722832217506e8,1.1198923778062727e10
3.0130910793954004e6,1.8390819389985788e8,1.119898257635451e10
2.0289997996762274e6,9.817040629089177e7,5.978029832449947e9
3.125157943754258e6,9.085141612537293e7,5.532344180266406e9
1.5186240998880486e6,6.434436471409411e7,3.9182126910132017e9
2.3948859781847605e6,1.444817417022601e8,8.798131685236532e9
1.6218514034138613e6,5.3695235419459194e7,3.26974015210663e9
1.680628124596034e6,9.254964244861126e7,5.635756685176375e9
2.3891929732134333e6,1.5274160735283157e8,9.301111403226414e9
2.2751568349585785e6,1.367035056386695e8,8.324480521012953e9
2.6017420693740416e6,1.6730156454914322e8,1.0187731534152987e10
2.8675515103435507e6,1.87566551997268e8,1.1421756166384272e10
1.8645226718096149e6,6.195789812896579e7,3.772890195374659e9
1.2598642360406304e6,2.0537816358621605e7,1.2506383901622868e9
2.0046463618400309e6,1.2383253648181957e8,8.067821878401463e9
2.300019503696309e6,1.3971159320367044e8,9.10235936643664e9
2.7449565923950677e6,1.7648711756997758e8,1.1498324017582575e10
2.924677383953579e6,1.8861403064076656e8,1.2288405343295773e10
2.7525220606217906e6,8.853633700202408e7,5.768236822019096e9
2.4948647796676913e6,1.596118209147571e8,1.0398880434922121e10
2.086019596698993e6,1.1581777231886478e8,7.545651441606703e9
2.628188266809781e6,1.4185720743617076e8,9.242148423007544e9
2.7676567917107884e6,1.4807053064603952e8,9.646953059610611e9
2.922262719758289e6,1.5855205436223456e8,1.0329835513277523e10
2.9831449661431606e6,1.620083892247815e8,1.0555019417406239e10
2.8097113740722598e6,1.4932172438687825e8,9.72846966682264e9
3.318756513334022e6,9.47041075730844e7,6.1700736556001215e9
2.571964427169196e6,1.380971945026909e8,8.99717956853968e9
2.864332296205431e6,1.6184610223670065e8,1.0069710895243395e10
2.964042119271911e6,1.67746707061687e8,1.043683363637554e10
1.828433433808378e6,6.797141021185878e7,4.2290326459292655e9
2.4409462008724315e6,1.3679105790783474e8,8.510840774971967e9
1.6461364396506608e6,4.830006935813179e7,3.0051247940792313e9
2.3313320131922583e6,1.303043348867603e8,8.107251040174342e9
2.7882826104631517e6,1.5734565154058015e8,9.789702685086119e9
1.9865268794958817e6,1.0892821412885171e8,6.777275507126629e9
2.5623794842873407e6,1.7471608340093133e8,1.087045300617477e10
