,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n31,-1.7183271781077076,-2.3944895644989224,-1.8772358455130824,-0.0,-0.0,-0.0,-0.0,796.8483714076314,-0.7778967390343612,-0.5028538346812286,0.12261007593099968,-3.1608004433524597,-4.83686082027478,-3.7041493010961255,96.84837140763135,96.84837140763135,96.84837140763135,-0.0,-0.0,-0.0,
n32,-1.593696024566071,-2.267619991162587,-1.5729300440681198,-0.0,-0.0,-0.0,-0.0,797.7815336196695,-1.1127121990286568,-1.179266678087879,-0.8395780490902816,-3.5422810562553524,-5.383246078443442,-4.220982420795644,97.78153361966947,97.78153361966947,97.78153361966947,-0.0,-0.0,-0.0,
n33,-1.3868197844367411,-1.9490461619630617,-1.4940800529382638,-0.0,-0.0,-0.0,-0.0,797.0700395822051,-0.0,-0.0,-0.0,-2.9235610825679004,-4.270573542196439,-3.3748085146578766,97.0700395822051,97.0700395822051,97.0700395822051,-0.0,-0.0,-0.0,
n34,-1.6125744157535005,-2.2833771870111668,-1.7153835938484785,-0.0,-0.0,-0.0,-0.0,796.7024862428486,-0.5405293918967139,-0.3959037704939643,0.014670505785951943,-3.160734309632291,-4.7074660121514,-3.6021295080149325,96.70248624284864,96.70248624284864,96.70248624284864,-0.0,-0.0,-0.0,
n35,-2.679399980435754,-3.6110804218435284,-2.7776254218435286,-0.0,-0.0,-0.0,-0.0,796.9814357935063,-2.1982299804357543,-2.8971554218435287,-2.302720019564246,-4.509646405089679,-7.519460965002864,-5.731510412757629,96.98143579350626,96.98143579350626,96.98143579350626,-0.0,-0.0,-0.0,
n36,-2.5137616954206505,-3.6215683639247382,-2.8032236175546044,-0.0,-0.0,-0.0,-0.0,797.0284249452955,-1.8724652084739073,-2.688247146530312,-2.1887470797757222,-4.333025135119026,-7.48596689900892,-5.799191118523902,97.0284249452955,97.0284249452955,97.0284249452955,-0.0,-0.0,-0.0,
n37,-2.6834323645703946,-3.8084044876291943,-2.990960821681036,-0.0,-0.0,-0.0,-0.0,797.2409288943265,-1.9848668481729212,-2.8861752421717006,-2.2766552046605835,-4.321414650426268,-7.449715725557708,-5.724200038790959,97.24092889432654,97.24092889432654,97.24092889432654,-0.0,-0.0,-0.0,
n38,-2.233150130567073,-2.613047939964828,-1.8741468805212116,-0.0,-0.0,-0.0,-0.0,797.2269782734121,-1.8022624193378913,-1.3409163024333999,-0.759999160567012,-3.6564128089205656,-5.392939623687471,-4.271484491370937,97.22697827341214,97.22697827341214,97.22697827341214,-0.0,-0.0,-0.0,
n39,-2.5015194783423067,-3.533749189679067,-2.86145275910569,-0.0,-0.0,-0.0,-0.0,797.6588372087996,-1.8198483024236491,-2.8106652753542054,-2.159890823062602,-4.187773445317302,-6.868101479204412,-5.511969287649102,97.65883720879954,97.65883720879954,97.65883720879954,-0.0,-0.0,-0.0,
n40,-2.3585565327382367,-3.492060323171653,-2.7335745245175085,-0.0,-0.0,-0.0,-0.0,796.4711930398287,-1.7087758272545466,-2.6142427168118316,-1.931708787091757,-4.210160514629995,-7.386337540274356,-5.848071450920523,96.47119303982869,96.47119303982869,96.47119303982869,-0.0,-0.0,-0.0,
n41,-2.6389947694057687,-3.623011344735024,-2.8238875255740967,-0.0,-0.0,-0.0,-0.0,796.5251299138337,-1.6122762072503274,-2.767377061683334,-2.198595269958577,-4.009146536372556,-6.8632590890749094,-5.436336252485296,96.52512991383364,96.52512991383364,96.52512991383364,-0.0,-0.0,-0.0,
n42,-2.616497373433033,-3.753881845805015,-2.9562076385917337,-0.0,-0.0,-0.0,-0.0,796.4053334177429,-1.6352392874873687,-2.6736760888399607,-2.148780447002655,-4.030169059083699,-6.7508174341151745,-5.298343300449203,96.40533341774285,96.40533341774285,96.40533341774285,-0.0,-0.0,-0.0,
n43,-1.6303652021154706,-2.27209347407329,-1.7306919697041103,-0.0,-0.0,-0.0,-0.0,797.7029228309996,-1.2141045345307104,-1.246227281203321,-0.8547394712679187,-3.5782337574528245,-5.412162335040967,-4.266092515478934,97.7029228309996,97.7029228309996,97.7029228309996,-0.0,-0.0,-0.0,
n44,-1.6267423015517921,-2.0320693481953485,-1.4873865703649822,-0.0,-0.0,-0.0,-0.0,797.9626218604701,-0.9225924190245296,-1.2313211924176655,-0.9708666727132464,-3.676817829372942,-5.372367338587347,-4.25813351939419,97.9626218604701,97.9626218604701,97.9626218604701,-0.0,-0.0,-0.0,
n45,-1.8873231897176161,-2.7092187985167366,-2.066756004178468,-0.0,-0.0,-0.0,-0.0,796.6878002575878,-1.411823478869009,-2.1367445607550537,-1.5278206332073023,-3.739754815115872,-5.743669853166264,-4.565299128804657,96.68780025758777,96.68780025758777,96.68780025758777,-0.0,-0.0,-0.0,
n46,-2.0517680883753546,-2.9704278992015847,-2.2929581238397336,-0.0,-0.0,-0.0,-0.0,796.4158061761509,-1.6898258853194748,-2.391737181218622,-1.7782690586789955,-3.8750627013235013,-5.885649547833846,-4.701602166022736,96.41580617615092,96.41580617615092,96.41580617615092,-0.0,-0.0,-0.0,
n47,-1.9699452277190388,-2.7847148097813204,-2.1371854596450572,-0.0,-0.0,-0.0,-0.0,796.3090499554597,-1.467170617925449,-2.220630421620395,-1.6812232465017942,-3.783463162394043,-5.783091741984842,-4.605825505025871,96.30904995545971,96.30904995545971,96.30904995545971,-0.0,-0.0,-0.0,
n48,-1.4750056221893693,-2.0481907899705165,-1.5444431798762226,-0.0,-0.0,-0.0,-0.0,796.2697583857934,-0.0,-0.0,-0.0,-2.972278528167941,-4.461509880367089,-3.5068730526034284,96.26975838579338,96.26975838579338,96.26975838579338,-0.0,-0.0,-0.0,
n49,-1.5163143206783387,-2.1608758808261808,-1.658031856561955,-0.0,-0.0,-0.0,-0.0,796.1875095326121,-0.0,-0.0,-0.0,-3.0096161616710604,-4.462385202720434,-3.513142916536945,96.18750953261207,96.18750953261207,96.18750953261207,-0.0,-0.0,-0.0,
n50,-1.2887963106491807,-1.816807197667098,-1.4378695974020643,-0.0,-0.0,-0.0,-0.0,796.1167438145848,-0.0,-0.0,-0.0,-2.838673278085674,-4.3548609039525585,-3.4600271911959624,96.11674381458477,96.11674381458477,96.11674381458477,-0.0,-0.0,-0.0,
n51,-1.390566459692527,-1.733415644179096,-1.3490076896077692,-0.0,-0.0,-0.0,-0.0,796.045613357345,-0.0,-0.0,-0.0,-2.880681489237702,-4.337804034907745,-3.497736870359847,96.04561335734506,96.04561335734506,96.04561335734506,-0.0,-0.0,-0.0,
n52,-1.315512011866145,-1.7599480722714946,-1.4827986225729206,-0.0,-0.0,-0.0,-0.0,796.3793632497446,-0.0,-0.0,-0.0,-2.838317621225987,-4.274580232374495,-3.3472871486169655,96.37936324974461,96.37936324974461,96.37936324974461,-0.0,-0.0,-0.0,
n53,-1.533514648292488,-2.192963195052752,-1.7459999946007314,-0.0,-0.0,-0.0,-0.0,796.6559715203509,-0.47734823230404977,-0.36091217761795913,-0.0,-3.1249022649820084,-4.704679628002295,-3.6249223284757837,96.65597152035099,96.65597152035099,96.65597152035099,-0.0,-0.0,-0.0,
n54,-1.548308646410596,-2.2104902085854565,-1.6941279515213816,-0.0,-0.0,-0.0,-0.0,796.7409525862626,-0.3871229395253003,-0.20825952109453977,-0.0,-3.070003706831776,-4.583916312958988,-3.4704430144069986,96.74095258626255,96.74095258626255,96.74095258626255,-0.0,-0.0,-0.0,
n55,-1.4986958157027561,-2.007143024244361,-1.551554606909883,-0.0,-0.0,-0.0,-0.0,797.0983228999276,-0.11274864316513378,-0.0,-0.0,-3.0129498272944417,-4.359809208416852,-3.4558241202952784,97.0983228999275,97.0983228999275,97.0983228999275,-0.0,-0.0,-0.0,
n56,-2.3358654130692087,-3.670315266192463,-2.908056636488664,-0.0,-0.0,-0.0,-0.0,797.130792149065,-1.7348134879355217,-2.8970697014181113,-2.2727126653953746,-4.287152266393621,-7.718907725662131,-5.8533748784472905,97.13079214906496,97.13079214906496,97.13079214906496,-0.0,-0.0,-0.0,
n57,-2.586586716420474,-3.8691713888181924,-3.0357163888181926,-0.0,-0.0,-0.0,-0.0,797.2621425738298,-1.7638229044579425,-3.130280399129206,-2.4388698190370195,-4.32876435614382,-7.785405871055388,-5.802246440959828,97.2621425738298,97.2621425738298,97.2621425738298,-0.0,-0.0,-0.0,
n58,-2.455525923718951,-3.802492517706535,-2.9805579908804867,-0.0,-0.0,-0.0,-0.0,797.2289783324758,-1.7181876783650627,-2.8701515763303975,-2.2095891782911354,-4.222422289055856,-7.642682334507512,-5.793861551768206,97.22897833247572,97.22897833247572,97.22897833247572,-0.0,-0.0,-0.0,
n59,-2.3489740800603176,-3.9126943296913805,-3.0792393296913807,-0.0,-0.0,-0.0,-0.0,797.2487479330243,-1.635560225289656,-3.198769329691381,-2.521064329691381,-4.316276527171162,-7.925056366421059,-5.868955597448316,97.24874793302435,97.24874793302435,97.24874793302435,-0.0,-0.0,-0.0,
n60,-2.3804500907628503,-3.6198978680279006,-2.8504126718409646,-0.0,-0.0,-0.0,-0.0,796.6636424155258,-1.8202580344978379,-2.460031413383328,-2.1296197871279365,-4.236382649391893,-7.471248661275913,-5.814845260346598,96.6636424155258,96.6636424155258,96.6636424155258,-0.0,-0.0,-0.0,
n61,-2.414699722348526,-3.633187232209711,-2.8654516692938667,-0.0,-0.0,-0.0,-0.0,796.6373555061879,-1.7661972971939437,-2.4043589740889386,-2.1154838361909145,-4.266074617015567,-7.442222727506517,-5.843036198933867,96.63735550618787,96.63735550618787,96.63735550618787,-0.0,-0.0,-0.0,
n62,-2.4532962637027445,-3.8381089980265366,-3.013112419769459,-0.0,-0.0,-0.0,-0.0,796.6378972751814,-1.7799782817133445,-2.5909280390778915,-2.233505114344494,-4.244872022080998,-7.465027097389292,-5.850386057344214,96.63789727518144,96.63789727518144,96.63789727518144,-0.0,-0.0,-0.0,
n63,-2.5333763326116463,-3.7820097546445255,-2.969026905063633,-0.0,-0.0,-0.0,-0.0,797.5890951702236,-2.0262339111221688,-2.794143580377736,-2.172742687880351,-4.570040624899563,-7.671587765959191,-5.5818036791641195,97.58909517022359,97.58909517022359,97.58909517022359,-0.0,-0.0,-0.0,
n64,-2.278419021765386,-3.9474127322484462,-3.1139577322484464,-0.0,-0.0,-0.0,-0.0,797.7612303898222,-1.6734264403620915,-3.2334877322484465,-2.5510978102283857,-4.3739929588066895,-7.680237569802536,-5.605400600251432,97.76123038982223,97.76123038982223,97.76123038982223,-0.0,-0.0,-0.0,
n65,-2.4036986452885905,-3.9250789168608984,-3.0916239168608985,-0.0,-0.0,-0.0,-0.0,797.7095782530549,-1.6957602557496396,-3.108208108725242,-2.4602951042248504,-4.369406170341165,-7.595914790008726,-5.59348923204474,97.7095782530549,97.7095782530549,97.7095782530549,-0.0,-0.0,-0.0,
