#daily flow (m3),P (mg),N (mg)
2.922262719758289e6,3.159018735259875e8,8.376787413208055e9
2.9831449661431606e6,3.227883352814261e8,8.559396099603679e9
2.8097113740722598e6,2.9751120338168013e8,7.889120998109626e9
3.318756513334022e6,1.8869011274110606e8,5.0035061323448515e9
2.571964427169196e6,2.75147254619703e8,7.296094934642648e9
2.864332296205431e6,3.2778494947354037e8,8.119257315370844e9
2.964042119271911e6,3.397353729171201e8,8.415270183325589e9
1.828433433808378e6,1.3766167336767125e8,3.4098897778309407e9
2.4409462008724315e6,2.7704127183227366e8,6.862332686709904e9
1.6461364396506608e6,9.782154513038133e7,2.423046870139596e9
2.3313320131922583e6,2.6390379030922726e8,6.536916302788487e9
2.7882826104631517e6,3.186702412189136e8,7.893485321285365e9
1.9865268794958817e6,2.2061099199194726e8,5.46455050318418e9
2.5623794842873407e6,3.5385036635625935e8,8.764899609329462e9
2.864471669503809e6,3.9778671637069094e8,9.853206231821793e9
2.9640880783140445e6,4.122749475095764e8,1.0212080783109497e10
1.8717378374054935e6,1.3696270871179226e8,3.3925763718782077e9
1.1875345022367043e6,5.637363030079379e7,1.396378970263487e9
3.061026656050586e6,1.8475948300806722e8,4.576505987864087e9
2.4810937476654113e6,2.693200118931784e8,7.554391776125101e9
2.83766729135027e6,3.101557465217409e8,8.699828892667324e9
2.9552492005716963e6,3.23621534231245e8,9.0775425100723e9
2.9940224231537245e6,3.28061945069614e8,9.202095464322493e9
2.3735798323481125e6,2.3523140327496606e8,6.59821067842371e9
2.73951297331266e6,2.989148573559036e8,8.384523393926976e9
2.922882323338119e6,3.19914794814162e8,8.973568945049006e9
2.98334928352219e6,3.3080147419089997e8,9.278938904655127e9
3.0032885660325685e6,3.331126528018053e8,9.343767168134872e9
3.0098636441548746e6,3.33874775506742e8,9.365144612217476e9
3.012031809047064e6,3.341260892800001e8,9.372193931310335e9
3.0127467722630557e6,3.34208961253529e8,9.3745184795342e9
1.9370255197931193e6,1.5964169465040526e8,4.477929050708774e9
2.3978400051164473e6,2.5945464547742826e8,7.277669514026124e9
2.8003137849592264e6,1.8438407826749185e8,9.684968747615402e9
2.9429316950378157e6,1.9422964238004243e8,1.0202117417005192e10
2.9899606641052207e6,1.9747626638291234e8,1.0372649776949183e10
3.005468701842726e6,1.9854685688392532e8,1.0428883675457289e10
3.010582554840932e6,1.9889988945555854e8,1.0447427084710867e10
2.187777572397106e6,7.024740949989817e7,3.689819489839348e9
2.397738976411837e6,1.5659250506699428e8,8.22518696806606e9
2.810180638679895e6,1.8000593952877775e8,9.455002379284748e9
2.94618533939543e6,1.8913828757742587e8,9.934688620496916e9
2.991033569603319e6,1.9214972501649633e8,1.0092867557403196e10
3.0058224977962254e6,1.931427615719502e8,1.0145027852886292e10
3.954668829224754e6,1.4396203527911946e8,7.561758182280085e9
2.2180708717384203e6,1.2949563642985566e8,6.80189528054731e9
2.6981332843069206e6,1.7248226253319773e8,9.059813286744797e9
2.9092371639524754e6,1.723500603089799e8,8.896643678611979e9
2.978849723976593e6,1.766660714860346e8,9.119434511909773e9
3.0018048137705266e6,1.7808929775564152e8,9.192900903346092e9
3.009374369426359e6,1.7855861373546746e8,9.217126813320854e9
3.011870468258518e6,1.787133730268209e8,9.225115428286566e9
3.012693569331182e6,1.787644056770816e8,9.22774971402184e9
3.012964991026146e6,1.787812339487147e8,9.228618382916864e9
2.9727366778096245e6,2.0468192739497253e8,1.0565602194858767e10
2.445383210820166e6,1.5574082564348665e8,8.039281387421391e9
2.773090664887129e6,1.9098220996931714e8,9.85842806207793e9
2.933954735053734e6,2.0260323268966642e8,1.0458300775430353e10
2.0345629910724605e6,1.1304934739029212e8,5.835563735968413e9
2.5782196323038726e6,1.7690448151918823e8,9.131741145922962e9
2.8696950375273777e6,1.979610313318172e8,1.0218672130734133e10
2.7004552585864514e6,1.3194478908786227e8,9.441974678718342e9
2.8869024535535495e6,1.4547702077643117e8,1.0410341749773603e10
2.9714847415287243e6,1.4993934184917706e8,1.0729665634168322e10
2.9195554967873823e6,1.4614375746003732e8,1.0458053455006542e10
