,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n35,-16.658950438693154,-23.680230868811293,-18.709347803205596,-0.0,-0.0,-0.0,-0.0,796.9814357935063,-16.378653036064296,-23.921901904956073,-18.700962231574785,-16.863338450659775,-16.461310349515173,-11.88298372477844,96.98143579350626,96.98143579350626,96.98143579350626,-0.0,-0.0,-0.0,
n36,-16.990115319888126,-24.011395750006265,-18.8657957654151,-0.0,-0.0,-0.0,-0.0,797.0284249452955,-16.047488154869324,-24.05456722624517,-18.684685619730026,-16.723517273063326,-16.31542771184647,-11.709072800056264,97.0284249452955,97.0284249452955,97.0284249452955,-0.0,-0.0,-0.0,
n37,-17.179951573561198,-23.81214300650709,-18.664930654559022,-0.0,-0.0,-0.0,-0.0,797.2409288943265,-16.073576533753396,-23.93560640551433,-18.689982051902955,-16.593220110261257,-16.353344159733194,-11.803846915086082,97.24092889432654,97.24092889432654,97.24092889432654,-0.0,-0.0,-0.0,
n38,-15.233505388083847,-23.769992390791803,-18.530151802826914,-0.0,-0.0,-0.0,-0.0,797.2269782734121,-14.712181251917983,-21.14940334437979,-16.325236317455925,-17.38875851322284,-17.282132176081706,-12.69410997364456,97.22697827341214,97.22697827341214,97.22697827341214,-0.0,-0.0,-0.0,
n39,-17.093174523413378,-23.50591498281231,-18.40492403561719,-0.0,-0.0,-0.0,-0.0,797.6588372087996,-15.816049214083694,-23.828359107664166,-18.63176260197708,-16.15339801666657,-16.524144001311818,-11.973693541863325,97.65883720879954,97.65883720879954,97.65883720879954,-0.0,-0.0,-0.0,
n40,-17.81516914980505,-23.207467081013903,-19.41968170893101,-0.0,-0.0,-0.0,-0.0,796.4711930398287,-15.579570307033938,-23.180618416157603,-18.066143400105666,-16.72660774612785,-16.448764014840812,-11.849379436212601,96.47119303982869,96.47119303982869,96.47119303982869,-0.0,-0.0,-0.0,
n41,-17.43406172232939,-23.379932186849256,-18.574735791343336,-0.0,-0.0,-0.0,-0.0,796.5251299138337,-15.136906292829515,-22.769378646885755,-17.794742128315093,-16.92338679486524,-17.484456260859826,-12.943688952888182,96.52512991383364,96.52512991383364,96.52512991383364,-0.0,-0.0,-0.0,
n42,-17.344313437702585,-23.51080268791925,-18.707055904360974,-0.0,-0.0,-0.0,-0.0,796.4053334177429,-15.009578766388232,-22.49565970820902,-17.52096012328909,-16.96348300206103,-17.618713674170472,-13.075227159389167,96.40533341774285,96.40533341774285,96.40533341774285,-0.0,-0.0,-0.0,
n43,-15.980497997254066,-23.481044235793764,-18.664615573423813,-0.0,-0.0,-0.0,-0.0,797.7029228309996,-14.360698710590036,-21.388269382353986,-16.697192001368478,-16.912791075508235,-17.140793318488434,-12.337070286478278,97.7029228309996,97.7029228309996,97.7029228309996,-0.0,-0.0,-0.0,
n44,-16.3742026674159,-23.476078405839203,-18.60571469809168,-0.0,-0.0,-0.0,-0.0,797.9626218604701,-14.288156811228177,-21.40895048203371,-16.64556596711983,-16.653114926164893,-16.892828549123738,-12.079473844950556,97.9626218604701,97.9626218604701,97.9626218604701,-0.0,-0.0,-0.0,
n45,-16.158726000508278,-23.26014240142505,-18.42437245503316,-0.0,-0.0,-0.0,-0.0,796.6878002575878,-14.531664351151845,-21.5535212034292,-16.835709332275833,-17.3705884538816,-17.60841445304109,-13.096158148817858,96.68780025758777,96.68780025758777,96.68780025758777,-0.0,-0.0,-0.0,
n46,-16.016701497022567,-23.013048487263855,-18.217977318367623,-0.0,-0.0,-0.0,-0.0,796.4158061761509,-14.692904012125153,-21.80866525563708,-17.081034103244324,-17.535918122790033,-17.72223310443268,-13.271124144572177,96.41580617615092,96.41580617615092,96.41580617615092,-0.0,-0.0,-0.0,
n47,-16.237503172298954,-23.124087525487173,-18.29282310813346,-0.0,-0.0,-0.0,-0.0,796.3090499554597,-14.470248744731126,-21.629017214693782,-16.8583788358503,-17.49257615838243,-17.741637356899737,-13.152374668628696,96.30904995545971,96.30904995545971,96.30904995545971,-0.0,-0.0,-0.0,
n48,-16.176657037514293,-24.015835757030548,-18.704807715479053,-0.0,-0.0,-0.0,-0.0,796.2697583857934,-13.007335911404795,-19.3023537083529,-15.099814346183175,-17.22235798972308,-17.33826840175451,-12.702232144127066,96.26975838579338,96.26975838579338,96.26975838579338,-0.0,-0.0,-0.0,
