,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n37,-0.11932736457552268,-0.07194580089179184,-0.07194580089012492,-0.0,-0.0,-0.0,-0.0,797.2409288943265,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.24092889432654,97.24092889432654,97.24092889432654,-0.0,-0.0,-0.0,
n38,-0.05097056469972035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.2269782734121,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.22697827341214,97.22697827341214,97.22697827341214,-0.0,-0.0,-0.0,
n39,-0.04095513936069145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.6588372087996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.65883720879954,97.65883720879954,97.65883720879954,-0.0,-0.0,-0.0,
n40,-0.02509254397089492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.4711930398287,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.47119303982869,96.47119303982869,96.47119303982869,-0.0,-0.0,-0.0,
n41,-0.0748897694108967,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.5251299138337,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.52512991383364,96.52512991383364,96.52512991383364,-0.0,-0.0,-0.0,
n42,-0.07619607386107403,-0.06463222957485573,-0.06463222957318882,-0.0,-0.0,-0.0,-0.0,796.4053334177429,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.40533341774285,96.40533341774285,96.40533341774285,-0.0,-0.0,-0.0,
n43,-0.060439521962296065,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.7029228309996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.7029228309996,97.7029228309996,97.7029228309996,-0.0,-0.0,-0.0,
n44,-0.07970758552003125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.9626218604701,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.9626218604701,97.9626218604701,97.9626218604701,-0.0,-0.0,-0.0,
n45,-0.06662758833916646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.6878002575878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.68780025758777,96.68780025758777,96.68780025758777,-0.0,-0.0,-0.0,
n46,-0.08984705734309394,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.4158061761509,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.41580617615092,96.41580617615092,96.41580617615092,-0.0,-0.0,-0.0,
n47,-0.09353312457837176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.3090499554597,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.30904995545971,96.30904995545971,96.30904995545971,-0.0,-0.0,-0.0,
n48,-0.12970990777668912,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.2697583857934,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.26975838579338,96.26975838579338,96.26975838579338,-0.0,-0.0,-0.0,
n49,-0.09396303460918695,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.1875095326121,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.18750953261207,96.18750953261207,96.18750953261207,-0.0,-0.0,-0.0,
n50,-0.026867534629974692,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.1167438145848,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.11674381458477,96.11674381458477,96.11674381458477,-0.0,-0.0,-0.0,
n51,-0.033301222061168013,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.045613357345,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.04561335734506,96.04561335734506,96.04561335734506,-0.0,-0.0,-0.0,
n52,-0.06743966195690802,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.3793632497446,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.37936324974461,96.37936324974461,96.37936324974461,-0.0,-0.0,-0.0,
n53,-0.03284593016943725,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.6559715203509,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.65597152035099,96.65597152035099,96.65597152035099,-0.0,-0.0,-0.0,
n54,-0.04385175269755413,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.7409525862626,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.74095258626255,96.74095258626255,96.74095258626255,-0.0,-0.0,-0.0,
n55,-0.03165692600689292,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.0983228999276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.0983228999275,97.0983228999275,97.0983228999275,-0.0,-0.0,-0.0,
n56,-0.0,-0.07562800241205182,-0.0756280024103849,-0.0,-0.0,-0.0,-0.0,797.130792149065,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.13079214906496,97.13079214906496,97.13079214906496,-0.0,-0.0,-0.0,
n57,-0.0,-0.05952638882581186,-0.05952638882414495,-0.0,-0.0,-0.0,-0.0,797.2621425738298,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.2621425738298,97.2621425738298,97.2621425738298,-0.0,-0.0,-0.0,
n58,-0.0,-0.04550652512880623,-0.04550652512713932,-0.0,-0.0,-0.0,-0.0,797.2289783324758,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.22897833247572,97.22897833247572,97.22897833247572,-0.0,-0.0,-0.0,
n59,-0.0,-0.1030493296990002,-0.10304932969733328,-0.0,-0.0,-0.0,-0.0,797.2487479330243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.24874793302435,97.24874793302435,97.24874793302435,-0.0,-0.0,-0.0,
n60,-0.0,-0.0949288061709987,-0.09492880616933179,-0.0,-0.0,-0.0,-0.0,796.6636424155258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.6636424155258,96.6636424155258,96.6636424155258,-0.0,-0.0,-0.0,
n61,-0.0,-0.060679174585323056,-0.06067917458365615,-0.0,-0.0,-0.0,-0.0,796.6373555061879,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.63735550618787,96.63735550618787,96.63735550618787,-0.0,-0.0,-0.0,
n62,-0.0,-0.0369224197770784,-0.03692241977541149,-0.0,-0.0,-0.0,-0.0,796.6378972751814,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.63789727518144,96.63789727518144,96.63789727518144,-0.0,-0.0,-0.0,
n63,-0.0,-0.06594104309411158,-0.06594104309244467,-0.0,-0.0,-0.0,-0.0,797.5890951702236,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.58909517022359,97.58909517022359,97.58909517022359,-0.0,-0.0,-0.0,
n64,-0.0,-0.1377677322560658,-0.1377677322543989,-0.0,-0.0,-0.0,-0.0,797.7612303898222,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.76123038982223,97.76123038982223,97.76123038982223,-0.0,-0.0,-0.0,
n65,-0.0,-0.11543391686851778,-0.11543391686685087,-0.0,-0.0,-0.0,-0.0,797.7095782530549,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.7095782530549,97.7095782530549,97.7095782530549,-0.0,-0.0,-0.0,
n66,-0.0,-0.12151039557236896,-0.12151039557070205,-0.0,-0.0,-0.0,-0.0,797.9092881924305,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.90928819243047,97.90928819243047,97.90928819243047,-0.0,-0.0,-0.0,
n67,-0.0,-0.11147396953466412,-0.11147396953299721,-0.0,-0.0,-0.0,-0.0,797.8434607353317,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.8434607353318,97.8434607353318,97.8434607353318,-0.0,-0.0,-0.0,
n68,-0.0,-0.11622634402876346,-0.11622634402709654,-0.0,-0.0,-0.0,-0.0,797.3765669477598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.3765669477598,97.3765669477598,97.3765669477598,-0.0,-0.0,-0.0,
n69,-0.0,-0.06141458102701297,-0.06141458102534606,-0.0,-0.0,-0.0,-0.0,798.0416794521582,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.04167945215822,98.04167945215822,98.04167945215822,-0.0,-0.0,-0.0,
n70,-0.0,-0.08286768321456679,-0.08286768321289988,-0.0,-0.0,-0.0,-0.0,798.1103339705335,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.11033397053347,98.11033397053347,98.11033397053347,-0.0,-0.0,-0.0,
n71,-0.0,-0.07942249373802969,-0.07942249373636277,-0.0,-0.0,-0.0,-0.0,798.2325130851352,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.23251308513525,98.23251308513525,98.23251308513525,-0.0,-0.0,-0.0,
n72,-0.0,-0.06132006935033755,-0.06132006934867064,-0.0,-0.0,-0.0,-0.0,798.5009326376069,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.50093263760681,98.50093263760681,98.50093263760681,-0.0,-0.0,-0.0,
n73,-0.0,-0.07289479513950484,-0.07289479513783792,-0.0,-0.0,-0.0,-0.0,798.3997091760169,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.39970917601694,98.39970917601694,98.39970917601694,-0.0,-0.0,-0.0,
n74,-0.0,-0.09183635232413229,-0.09183635232246537,-0.0,-0.0,-0.0,-0.0,798.2093420659384,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.20934206593837,98.20934206593837,98.20934206593837,-0.0,-0.0,-0.0,
n75,-0.0,-0.10424231071623727,-0.10424231071457035,-0.0,-0.0,-0.0,-0.0,797.8887202035246,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.88872020352454,97.88872020352454,97.88872020352454,-0.0,-0.0,-0.0,
n76,-0.0,-0.08016133241990062,-0.0801613324182337,-0.0,-0.0,-0.0,-0.0,797.903367193185,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.90336719318496,97.90336719318496,97.90336719318496,-0.0,-0.0,-0.0,
n77,-0.0,-0.03327821834568034,-0.03327821834401343,-0.0,-0.0,-0.0,-0.0,797.7851403988664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.78514039886635,97.78514039886635,97.78514039886635,-0.0,-0.0,-0.0,
n78,-0.0,-0.08625555651132871,-0.0862555565096618,-0.0,-0.0,-0.0,-0.0,797.9850997455517,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.98509974555168,97.98509974555168,97.98509974555168,-0.0,-0.0,-0.0,
n79,-0.0,-0.07732892460596277,-0.07732892460429586,-0.0,-0.0,-0.0,-0.0,798.2125560326708,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.21255603267088,98.21255603267088,98.21255603267088,-0.0,-0.0,-0.0,
n80,-0.0,-0.10154148181784807,-0.10154148181618115,-0.0,-0.0,-0.0,-0.0,798.276052018671,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.27605201867097,98.27605201867097,98.27605201867097,-0.0,-0.0,-0.0,
n81,-0.0,-0.08815891522535216,-0.08815891522368524,-0.0,-0.0,-0.0,-0.0,798.1098640316802,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.10986403168027,98.10986403168027,98.10986403168027,-0.0,-0.0,-0.0,
n82,-0.0,-0.08061879037332906,-0.08061879037166214,-0.0,-0.0,-0.0,-0.0,798.5230686444861,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.52306864448612,98.52306864448612,98.52306864448612,-0.0,-0.0,-0.0,
n83,-0.0,-0.08000478063027937,-0.08000478062861245,-0.0,-0.0,-0.0,-0.0,798.0670352771176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.06703527711763,98.06703527711763,98.06703527711763,-0.0,-0.0,-0.0,
n84,-0.0,-0.09086243451687968,-0.09086243451521277,-0.0,-0.0,-0.0,-0.0,798.0292351608294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.02923516082944,98.02923516082944,98.02923516082944,-0.0,-0.0,-0.0,
n85,-0.0,-0.08340141792037979,-0.08340141791871288,-0.0,-0.0,-0.0,-0.0,797.7862265906107,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.78622659061065,97.78622659061065,97.78622659061065,-0.0,-0.0,-0.0,
n86,-0.0,-0.05149734375961868,-0.05149734375795177,-0.0,-0.0,-0.0,-0.0,797.6645290185073,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.66452901850735,97.66452901850735,97.66452901850735,-0.0,-0.0,-0.0,
n87,-0.0,-0.0804380558203398,-0.08043805581867289,-0.0,-0.0,-0.0,-0.0,797.6100179632936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.61001796329356,97.61001796329356,97.61001796329356,-0.0,-0.0,-0.0,
n88,-0.0,-0.04508381449214618,-0.04508381449214618,-0.0,-0.0,-0.0,-0.0,797.5414012380495,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.54140123804952,97.54140123804952,97.54140123804952,-0.0,-0.0,-0.0,
n89,-0.0,-0.051799574752831,-0.05179957475116409,-0.0,-0.0,-0.0,-0.0,797.4555654536341,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.45556545363411,97.45556545363411,97.45556545363411,-0.0,-0.0,-0.0,
n90,-0.0,-0.08030456217958669,-0.08030456217791977,-0.0,-0.0,-0.0,-0.0,797.5480573630243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.54805736302431,97.54805736302431,97.54805736302431,-0.0,-0.0,-0.0,
n91,-0.0,-0.03645461606602033,-0.03645461606435342,-0.0,-0.0,-0.0,-0.0,797.4935680984183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.49356809841831,97.49356809841831,97.49356809841831,-0.0,-0.0,-0.0,
n92,-0.0,-0.07102230259980452,-0.0710223025981376,-0.0,-0.0,-0.0,-0.0,797.3479799251066,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.34797992510666,97.34797992510666,97.34797992510666,-0.0,-0.0,-0.0,
n93,-0.0,-0.14397240427657426,-0.14397240427490735,-0.0,-0.0,-0.0,-0.0,797.454057288288,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.45405728828801,97.45405728828801,97.45405728828801,-0.0,-0.0,-0.0,
n94,-0.0,-0.11483710525557443,-0.11483710525390751,-0.0,-0.0,-0.0,-0.0,797.4917313963824,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.4917313963824,97.4917313963824,97.4917313963824,-0.0,-0.0,-0.0,
n95,-0.0,-0.07627834675583282,-0.07627834675416591,-0.0,-0.0,-0.0,-0.0,797.8799049294083,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.87990492940831,97.87990492940831,97.87990492940831,-0.0,-0.0,-0.0,
n96,-0.0,-0.07214955577924466,-0.07214955577757774,-0.0,-0.0,-0.0,-0.0,797.8270241447739,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.82702414477384,97.82702414477384,97.82702414477384,-0.0,-0.0,-0.0,
n97,-0.0,-0.11978491611147912,-0.1197849161098122,-0.0,-0.0,-0.0,-0.0,796.3891139338101,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.38911393381015,96.38911393381015,96.38911393381015,-0.0,-0.0,-0.0,
n98,-0.0,-0.08166258218437139,-0.08166258218270447,-0.0,-0.0,-0.0,-0.0,796.7082350404464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.70823504044638,96.70823504044638,96.70823504044638,-0.0,-0.0,-0.0,
n99,-0.0,-0.1338437228132193,-0.13384372281155238,-0.0,-0.0,-0.0,-0.0,797.0024369450751,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.00243694507512,97.00243694507512,97.00243694507512,-0.0,-0.0,-0.0,
n100,-0.0,-0.08292524827581822,-0.0829252482741513,-0.0,-0.0,-0.0,-0.0,797.2067455742691,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.2067455742691,97.2067455742691,97.2067455742691,-0.0,-0.0,-0.0,
n101,-0.0,-0.08022770232495385,-0.08022770232328694,-0.0,-0.0,-0.0,-0.0,797.2256291764844,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.22562917648442,97.22562917648442,97.22562917648442,-0.0,-0.0,-0.0,
n102,-0.0,-0.09642482805685806,-0.09642482805519115,-0.0,-0.0,-0.0,-0.0,797.3144528359047,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.31445283590476,97.31445283590476,97.31445283590476,-0.0,-0.0,-0.0,
n103,-0.0,-0.06046802738983845,-0.06046802738817154,-0.0,-0.0,-0.0,-0.0,797.4218674394739,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.42186743947389,97.42186743947389,97.42186743947389,-0.0,-0.0,-0.0,
n104,-0.0,-0.09435078590436381,-0.0943507859026969,-0.0,-0.0,-0.0,-0.0,797.5860299195461,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.58602991954616,97.58602991954616,97.58602991954616,-0.0,-0.0,-0.0,
n105,-0.0,-0.06356331250953579,-0.06356331250786887,-0.0,-0.0,-0.0,-0.0,797.6024546264904,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.60245462649037,97.60245462649037,97.60245462649037,-0.0,-0.0,-0.0,
n106,-0.0,-0.060323074527694864,-0.060323074526027955,-0.0,-0.0,-0.0,-0.0,797.6167472675581,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.61674726755814,97.61674726755814,97.61674726755814,-0.0,-0.0,-0.0,
n107,-0.0,-0.07850313724031843,-0.07850313723865152,-0.0,-0.0,-0.0,-0.0,797.2906124156417,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.29061241564168,97.29061241564168,97.29061241564168,-0.0,-0.0,-0.0,
n108,-0.0,-0.05107938547377798,-0.05107938547211107,-0.0,-0.0,-0.0,-0.0,797.2215911024798,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.22159110247982,97.22159110247982,97.22159110247982,-0.0,-0.0,-0.0,
n109,-0.0,-0.06294489598202417,-0.06294489598035725,-0.0,-0.0,-0.0,-0.0,797.2636146328381,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.26361463283814,97.26361463283814,97.26361463283814,-0.0,-0.0,-0.0,
n110,-0.0,-0.07768520104343875,-0.07768520104177183,-0.0,-0.0,-0.0,-0.0,797.1606042985293,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.16060429852925,97.16060429852925,97.16060429852925,-0.0,-0.0,-0.0,
n111,-0.0,-0.09191283514160746,-0.09191283513994054,-0.0,-0.0,-0.0,-0.0,797.1794445108084,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.17944451080834,97.17944451080834,97.17944451080834,-0.0,-0.0,-0.0,
